-86.56668,34.61259,"BurgerKing-Huntsville,AL"
-86.53718,34.79777,"BurgerKing-Huntsville,AL"
-85.76141,33.81755,"BurgerKing-Jacksonville,AL"
-87.26764,33.84834,"BurgerKing-Jasper,AL"
-86.55838,33.55558,"BurgerKing-Leeds,AL"
-86.52195,33.56283,"BurgerKing-Leeds,AL"
-88.18896,32.61614,"BurgerKing-Livingston,AL"
-86.75093,34.67674,"BurgerKing-Madison,AL"
-86.7421,34.70969,"BurgerKing-Madison,AL"
-86.3524,32.3819,"BurgerKing-Maxwell Afb,AL"
-86.9218,33.4563,"BurgerKing-Midfield,AL"
-88.22294,30.75984,"BurgerKing-Mobile,AL"
-88.22256,30.68404,"BurgerKing-Mobile,AL"
-88.19118,30.64003,"BurgerKing-Mobile,AL"
-88.16918,30.59147,"BurgerKing-Mobile,AL"
-88.1497,30.72005,"BurgerKing-Mobile,AL"
-88.1459,30.63254,"BurgerKing-Mobile,AL"
-88.053238,30.68639,"BurgerKing-Mobile,AL"
-88.14323,30.67569,"BurgerKing-Mobile,AL"
-88.12874,30.71142,"BurgerKing-Mobile,AL"
-88.11569,30.70148,"BurgerKing-Mobile,AL"
-88.11462,30.67638,"BurgerKing-Mobile,AL"
-88.11081,30.74451,"BurgerKing-Mobile,AL"
-88.08303,30.67735,"BurgerKing-Mobile,AL"
-88.075,30.75815,"BurgerKing-Mobile,AL"
-88.0482,30.68779,"BurgerKing-Mobile,AL"
-87.32062,31.51208,"BurgerKing-Monroeville,AL"
-86.30125,32.3802,"BurgerKing-Montgomery,AL"
-86.28654,32.35947,"BurgerKing-Montgomery,AL"
-86.21386,32.36,"BurgerKing-Montgomery,AL"
-86.18229,32.38267,"BurgerKing-Montgomery,AL"
-86.52044,33.56982,"BurgerKing-Moody,AL"
-87.27092,34.47781,"BurgerKing-Moulton,AL"
-87.66748,34.70805,"BurgerKing-Muscle Shoals,AL"
-87.59449,33.23971,"BurgerKing-Northport,AL"
-86.46705,33.95388,"BurgerKing-Oneonta,AL"
-85.37694,32.6532,"BurgerKing-Opelika,AL"
-85.34682,32.64344,"BurgerKing-Opelika,AL"
-86.24901,31.27686,"BurgerKing-Opp,AL"
-87.59177,30.26851,"BurgerKing-Orange Beach,AL"
-85.82795,33.60863,"BurgerKing-Oxford,AL"
-86.81174,33.29458,"BurgerKing-Pelham,AL"
-86.810204,33.284679,"BurgerKing-Pelham,AL"
-86.28871,33.6114,"BurgerKing-Pell City,AL"
-85.02867,32.46836,"BurgerKing-Phenix City,AL"
-85.02415,32.48549,"BurgerKing-Phenix City,AL"
-86.42262,32.46037,"BurgerKing-Prattville,AL"
-88.1106775,30.7445749,"BurgerKing-Prichard,AL"
-86.03579,33.95938,"BurgerKing-Rainbow City,AL"
-85.85173,34.49679,"BurgerKing-Rainsville,AL"
-86.647774,34.68404,"BurgerKing-Redstone Arsenal,AL"
-85.35866,33.15033,"BurgerKing-Roanoke,AL"
-87.70819,30.544,"BurgerKing-Robertsdale,AL"
-87.71751,34.51435,"BurgerKing-Russellville,AL"
-88.06875,30.82911,"BurgerKing-Saraland,AL"
-86.0481,34.63089,"BurgerKing-Scottsboro,AL"
-87.03517,32.43111,"BurgerKing-Selma,AL"
-88.23269,30.76756,"BurgerKing-Semmes,AL"
-86.25417,33.16746,"BurgerKing-Sylacauga,AL"
-86.09781,33.43544,"BurgerKing-Talladega,AL"
-86.77411,33.5835,"BurgerKing-Tarrant City,AL"
-87.737092,31.940595,"BurgerKing-Thomasville,AL"
-85.95895,31.78403,"BurgerKing-Troy,AL"
-87.56841,33.20541,"BurgerKing-Tuscaloosa,AL"
-87.55079,33.19908,"BurgerKing-Tuscaloosa,AL"
-87.54058,33.23379,"BurgerKing-Tuscaloosa,AL"
-87.52487,33.17434,"BurgerKing-Tuscaloosa,AL"
-87.47108,33.17632,"BurgerKing-Tuscaloosa,AL"
-87.70387,34.71446,"BurgerKing-Tuscumbia,AL"
-85.69321,32.4271,"BurgerKing-Tuskegee,AL"
-85.18295,32.84592,"BurgerKing-Valley,AL"
-86.21075,32.52403,"BurgerKing-Wetumpka,AL"
-87.8177,33.9289,"BurgerKing-Winfield,AL"
-93.08384,34.12093,"BurgerKing-Arkadelphia,AR"
-91.62807,35.76938,"BurgerKing-Batesville,AR"
-92.57229,34.58189,"BurgerKing-Benton,AR"
-89.86978,35.92894,"BurgerKing-Blytheville,AR"
-92.49824,34.62085,"BurgerKing-Bryant,AR"
-92.02839,34.97773,"BurgerKing-Cabot,AR"
-91.95861,34.93779,"BurgerKing-Cabot,AR"
-92.49082,35.09109,"BurgerKing-Conway,AR"
-92.42776,35.09169,"BurgerKing-Conway,AR"
-93.16253,35.22117,"BurgerKing-Dardanelle,AR"
-92.66548,33.22903,"BurgerKing-El Dorado,AR"
-90.7895,35.03329,"BurgerKing-Forrest City,AR"
-92.02921,35.50679,"BurgerKing-Heber Springs,AR"
-93.60377,33.67931,"BurgerKing-Hope,AR"
-93.06,34.47504,"BurgerKing-Hot Springs National Park,AR"
-93.05309,34.50345,"BurgerKing-Hot Springs National Park,AR"
-93.05642,34.65394,"BurgerKing-Hot Springs Village,AR"
-93.05742,34.47325,"BurgerKing-Hot Springs,AR"
-92.14065,34.89357,"BurgerKing-Jacksonville,AR"
-92.12524,34.8682,"BurgerKing-Jacksonville,AR"
-92.10954,34.88487,"BurgerKing-Jacksonville,AR"
-90.67787,35.82806,"BurgerKing-Jonesboro,AR"
-90.66457,35.73803,"BurgerKing-Jonesboro,AR"
-92.41113,34.75087,"BurgerKing-Little Rock,AR"
-92.4087,34.71088,"BurgerKing-Little Rock,AR"
-92.40083,34.77248,"BurgerKing-Little Rock,AR"
-92.3669,34.75282,"BurgerKing-Little Rock,AR"
-92.34231,34.72242,"BurgerKing-Little Rock,AR"
-92.3412,34.75237,"BurgerKing-Little Rock,AR"
-92.33992,34.67551,"BurgerKing-Little Rock,AR"
-92.31766,34.75127,"BurgerKing-Little Rock,AR"
-93.22601,33.26691,"BurgerKing-Magnolia,AR"
-92.89625,34.45525,"BurgerKing-Malvern,AR"
-91.80221,33.62871,"BurgerKing-Monticello,AR"
